Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.3825434177948101,0.38980891719745225,0.3813486938955244,2.9127841967914057,183467.50057673454,15540,15540
RF,0,0.6346499582224973,0.6834394904458598,0.6267098506337738,1.0804034584897746,183467.50057673454,15540,15540
XGBoost,0,0.7313922781732711,0.7254777070063694,0.6905791017042819,0.9621939536241875,183467.50057673454,15540,15540
UGNB,0,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,183467.50057673454,15540,15540
Ridge,1,0.40541574931323227,0.4063694267515924,0.39913782207858683,2.776701638258112,183421.85384893417,15540,15540
RF,1,0.6346853322215672,0.6719745222929936,0.616857396078196,1.093649712544052,183421.85384893417,15540,15540
XGBoost,1,0.7113349119935266,0.7178343949044586,0.6832353978126399,0.9590254477675844,183421.85384893417,15540,15540
UGNB,1,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,183421.85384893417,15540,15540
Ridge,2,0.38947252902772733,0.3904458598726115,0.38622401731583544,2.7670110577924416,184194.384806633,15540,15540
RF,2,0.6533673579846805,0.6751592356687898,0.6243833789590606,1.1071521971189906,184194.384806633,15540,15540
XGBoost,2,0.7137840383430515,0.7248407643312101,0.6933569219980019,0.9463517625916767,184194.384806633,15540,15540
UGNB,2,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,184194.384806633,15540,15540
