Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.4122959672085649,0.435031847133758,0.41804928044317147,2.7288838111083416,157080.41916537285,13680,15540
RF,0,0.622868382890386,0.6789808917197452,0.626224680641543,1.1527133748222331,157080.41916537285,13680,15540
XGBoost,0,0.7248648768649439,0.7312101910828025,0.7003907048408977,0.9626983022277353,157080.41916537285,13680,15540
UGNB,0,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,157080.41916537285,13680,15540
Ridge,1,0.39077092144494413,0.4063694267515924,0.3892439883719627,2.847601617745162,155450.8947916031,12927,15540
RF,1,0.6556723546300721,0.6719745222929936,0.6197003674710383,1.1207352246541586,155450.8947916031,12927,15540
XGBoost,1,0.718080398439571,0.7261146496815286,0.6901456091488671,0.9542548744911403,155450.8947916031,12927,15540
UGNB,1,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,155450.8947916031,12927,15540
Ridge,2,0.3698827925154967,0.3955414012738854,0.3777876978498466,2.7185963120977306,157144.10415625572,13701,15540
RF,2,0.6600141233086808,0.6681528662420382,0.615896468561842,1.078051381874611,157144.10415625572,13701,15540
XGBoost,2,0.7233978810492869,0.7280254777070063,0.6961265870165191,0.9797186015804866,157144.10415625572,13701,15540
UGNB,2,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,157144.10415625572,13701,15540
