Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.41060884782446033,0.4305732484076433,0.4122132164004307,2.8062590832330487,154157.1218829155,13583,15540
RF,0,0.6415427019996279,0.664968152866242,0.6127920771897997,1.1090200951523905,154157.1218829155,13583,15540
XGBoost,0,0.7159303257184847,0.7171974522292993,0.6839381867777653,0.9635566113271206,154157.1218829155,13583,15540
UGNB,0,0.30902304335085556,0.2802547770700637,0.28062225084385956,24.85911931608222,154157.1218829155,13583,15540
Ridge,1,0.36883181535764314,0.3834394904458599,0.37019904747352367,2.775627917560461,156477.5435371399,13856,15540
RF,1,0.6929668322309663,0.6687898089171974,0.6180745110585659,1.1098873047994788,156477.5435371399,13856,15540
XGBoost,1,0.7174123000747936,0.7292993630573248,0.6994727305224897,0.9762376764096166,156477.5435371399,13856,15540
UGNB,1,0.3213379286545612,0.2872611464968153,0.29201929801488247,24.617127889111515,156477.5435371399,13856,15540
Ridge,2,0.38187003205337056,0.3955414012738854,0.37959145147561196,2.784613761909747,159342.72178077698,13981,15540
RF,2,0.6685173916200301,0.6732484076433121,0.6216490622152643,1.1162650729463737,159342.72178077698,13981,15540
XGBoost,2,0.69930722978142,0.7171974522292993,0.6823682652414682,0.9481184973143485,159342.72178077698,13981,15540
UGNB,2,0.3106592246768781,0.27770700636942675,0.28414474029966097,24.94711619861704,159342.72178077698,13981,15540
