Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.323240255297359,0.3292993630573248,0.3208259366394668,3.098230388909948,193395.26543188095,16660,16660
RF,0,0.6247934472783899,0.6573248407643312,0.5989380485595135,1.182424352103255,193395.26543188095,16660,16660
XGBoost,0,0.6884900454232321,0.6961783439490445,0.6594111150743972,1.0408750832791591,193395.26543188095,16660,16660
UGNB,0,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,193395.26543188095,16660,16660
Ridge,1,0.31698244128579384,0.32802547770700635,0.31620840291676583,2.968989161552007,192809.1847193241,16660,16660
RF,1,0.6200750195112553,0.6656050955414012,0.6075490189889456,1.2351511238518518,192809.1847193241,16660,16660
XGBoost,1,0.6883299533238394,0.6968152866242038,0.6590861184145161,1.0398153394708467,192809.1847193241,16660,16660
UGNB,1,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,192809.1847193241,16660,16660
Ridge,2,0.3527250952460205,0.35668789808917195,0.3494978117282507,2.882845849509299,192755.2493622303,16660,16660
RF,2,0.6084339795134098,0.6503184713375796,0.5918339820778001,1.1934137416838961,192755.2493622303,16660,16660
XGBoost,2,0.6868051758541018,0.7012738853503184,0.6661265291134364,1.052560351552566,192755.2493622303,16660,16660
UGNB,2,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,192755.2493622303,16660,16660
