Model,Runno,Precision,Recall,F1score,LogLoss,Time,NbKernelNoDuplicates,NbKernelDuplicates
Ridge,0,0.3404076975998594,0.35987261146496813,0.33966571655093575,2.9767844886347867,147744.7089214325,12097,16660
RF,0,0.5953604953980084,0.6375796178343949,0.5824975406333327,1.1820382440088844,147744.7089214325,12097,16660
XGBoost,0,0.7090448746260474,0.7012738853503184,0.6659359265458178,1.0658621120715408,147744.7089214325,12097,16660
UGNB,0,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,147744.7089214325,12097,16660
Ridge,1,0.3452900427097479,0.36178343949044584,0.34773432415129973,2.874392137780263,150896.06572294235,12691,16660
RF,1,0.6347633768280829,0.6452229299363057,0.5840533535938645,1.1740407543618803,150896.06572294235,12691,16660
XGBoost,1,0.6899151909810284,0.6987261146496815,0.6631761959171047,1.06660523935127,150896.06572294235,12691,16660
UGNB,1,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,150896.06572294235,12691,16660
Ridge,2,0.3608566234433977,0.37515923566878984,0.3562091067729245,2.862606240214043,150410.54773640633,11632,16660
RF,2,0.586558320350126,0.6382165605095541,0.5796974595670907,1.2402661745094852,150410.54773640633,11632,16660
XGBoost,2,0.7122977479046356,0.7044585987261146,0.6683188873307541,1.0373954415140563,150410.54773640633,11632,16660
UGNB,2,0.0018759381719339525,0.04331210191082802,0.0035961207935730224,33.042829391819026,150410.54773640633,11632,16660
